@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A10-M10'

@attribute '-0.122Feature85-0.122Feature84-0.121Feature52-0.12Feature86-0.12Feature162-0.12Feature78-0.12Feature163+0.12 Feature150-0.119Feature57+0.119Feature149...' numeric
@attribute '-0.23Feature34-0.228Feature33-0.222Feature35-0.201Feature32+0.197Feature98+0.193Feature99-0.191Feature36-0.187Feature31+0.172Feature100+0.17 Feature97...' numeric
@attribute 0.199Feature95+0.184Feature96+0.175Feature94-0.17Feature30+0.166Feature103-0.154Feature31+0.151Feature18-0.148Feature29+0.143Feature93+0.137Feature15... numeric
@attribute -0.234Feature27-0.221Feature25+0.204Feature92-0.2Feature28-0.189Feature26-0.189Feature102-0.183Feature29-0.177Feature11-0.16Feature103+0.157Feature93... numeric
@attribute '0.237Feature50-0.236Feature115+0.229Feature154+0.216Feature76+0.216Feature128+0.208Feature24-0.198Feature141+0.176Feature14+0.174Feature105+0.17 Feature104...' numeric
@attribute -0.263Feature91-0.253Feature13-0.222Feature104-0.22Feature12-0.209Feature89-0.196Feature90-0.189Feature141+0.185Feature128+0.179Feature50+0.179Feature76... numeric
@attribute 0.317Feature110+0.314Feature19+0.242Feature109+0.225Feature108+0.222Feature111+0.192Feature97+0.188Feature20+0.181Feature17+0.176Feature18+0.142Feature30... numeric
@attribute 0.277Feature106+0.266Feature107+0.255Feature21+0.245Feature16+0.232Feature20+0.215Feature15+0.197Feature111+0.194Feature99-0.183Feature11-0.179Feature102... numeric
@attribute 0.213Feature108+0.207Feature17-0.187Feature20-0.176Feature98+0.173Feature106+0.167Feature15+0.161Feature23+0.157Feature114-0.156Feature91-0.147Feature19... numeric
@attribute 0.281Feature23-0.277Feature108-0.27Feature17+0.262Feature114-0.185Feature21-0.18Feature95+0.172Feature104-0.167Feature99-0.166Feature18+0.157Feature101... numeric
@attribute Class {-1,1}

@data
-8.999277,1.477078,-5.762767,-2.162242,-1.457415,0.392421,-1.374749,-0.210016,-2.079513,-2.237599,-1
-5.555935,3.52554,-1.150905,-3.702421,-0.86586,1.927157,-0.694449,-2.569116,-0.072719,-1.345743,-1
-8.685815,2.433532,-0.102,2.237963,3.674273,-2.492613,3.367917,-1.862367,1.305871,-1.061295,-1
-15.339832,1.688594,1.59117,-4.380355,-0.439216,1.503528,1.16679,-1.54766,0.577632,-2.240759,-1
-2.093197,4.372155,-0.846145,0.877333,-1.552285,-3.798274,-2.865211,-0.913115,-0.957135,-0.886476,-1
-4.43293,3.332692,-2.472026,-2.039775,-0.384473,1.200141,0.528956,-0.438907,1.084073,0.521675,-1
-4.496556,-0.984267,-0.007542,-1.103416,-2.60777,0.729939,1.637337,-0.376242,2.21803,-1.012793,-1
25.631635,-1.39303,1.2843,4.328838,-0.523262,-1.348271,-0.435139,-3.509405,4.08087,-3.5432,1
-1.579683,1.685417,3.703612,4.305718,-3.171587,-1.479118,0.981925,0.299417,-2.233628,-1.783701,-1
0.505965,-0.072534,-3.005951,0.985303,-3.640666,-2.215182,1.664959,-3.736488,-0.462905,0.08114,1
-8.285343,1.023731,-2.728397,1.43281,1.82117,-0.901986,4.876885,-0.142548,-0.061359,1.596601,-1
-2.969479,-0.64528,-4.506003,1.470511,0.04689,-0.640288,0.790547,1.23175,1.060776,-0.569881,-1
-1.495112,0.594963,0.235756,2.495516,1.153495,1.68557,-1.060808,-1.744582,-2.323409,1.507763,-1
1.780339,2.415689,0.865229,3.811525,-2.067805,1.229037,1.332835,3.321825,2.136172,0.174629,-1
2.032942,-1.152776,-0.624683,0.706794,-3.642236,-0.538102,-0.95066,1.160953,1.710892,-0.279843,1
0.476833,1.009972,-2.25925,1.930447,-3.472735,2.37299,1.151789,-1.137405,3.053292,1.727058,1
2.08738,2.928624,-2.115028,0.92735,-2.691459,1.083265,-0.5857,0.723357,0.313977,0.030789,-1
-4.261197,0.539621,1.953656,5.189833,2.475955,-1.447894,3.799864,0.433274,-1.649349,1.609983,-1
-3.952456,0.826908,0.344909,-1.336016,-2.276774,-0.363915,1.286574,-1.018485,1.713137,2.767762,-1
-5.439793,2.913315,-0.753479,-3.946567,-3.496139,-0.497754,1.462482,0.87567,-1.254351,-1.257486,1
7.091697,2.390326,0.646271,3.228764,-0.435179,-2.613969,1.042976,-1.428779,-1.118073,0.802723,-1
-4.660098,3.654669,-3.323974,2.247523,1.74893,-0.51336,-3.081234,0.364922,-1.763851,-0.502989,-1
6.329716,-4.448518,0.861879,0.564537,-1.761271,3.230868,-1.929888,-0.648761,-0.277927,0.61143,1
-9.891427,-1.441501,3.798995,6.147138,3.352865,5.083742,1.761422,1.948267,-1.895172,-2.099955,-1
-8.91097,-1.963179,3.251737,0.200085,-5.03987,-0.253909,-0.804971,2.85814,-1.51,0.388125,-1
-2.993144,1.801529,-1.999223,-0.895091,2.074305,-0.777691,0.417905,-1.287663,-0.628016,-0.03788,1
12.298421,-1.222575,0.994846,1.019015,0.242087,1.29381,-0.944766,-3.706788,-1.043046,-5.257984,1
-10.928346,-0.350622,1.616909,-0.636211,-3.934135,-3.137224,-0.540825,0.595296,-2.120364,-1.322192,-1
10.345352,-1.71995,-0.486459,-5.338816,0.61492,-1.188536,-0.652269,-1.430289,-4.074946,-0.135943,1
-0.869669,-2.508134,0.452201,1.094692,2.793847,0.537946,4.1571,0.895883,-0.248596,-0.963865,1
-8.977936,-1.766759,1.063637,0.282698,-3.752389,-1.48802,1.170933,-0.134154,-2.427968,0.287468,-1
-7.723087,0.965829,3.650245,-3.411605,2.125423,1.687571,-0.210944,-2.235795,-2.428184,3.029247,-1
4.456523,0.130301,-1.692178,-1.851508,-1.359561,-3.965294,3.437864,-1.747236,-2.209492,1.137736,1
-12.257481,-2.526986,2.505231,-7.4772,0.499178,0.150014,3.386434,-3.021346,1.864797,2.062369,1
-6.277757,0.575668,-0.357177,-1.164351,1.116234,2.80922,-1.859983,-1.424633,4.375637,1.702917,-1
5.460079,-2.945175,2.70829,-1.991631,-2.306765,0.103905,0.404636,3.062929,0.292387,0.548164,1
6.25503,-1.217713,1.475271,-0.864009,-3.002821,-0.071485,1.407632,-2.139202,0.466979,-1.358747,1
-4.379629,-1.246872,-1.895597,-2.401363,0.186953,-0.963645,-1.042972,-0.35637,0.224677,-0.673867,1
0.109985,1.681955,1.481364,0.121767,-0.901198,0.174265,2.016558,0.127434,-0.090789,-0.792171,-1
-1.231142,0.132933,3.317648,-1.345099,-3.033783,-0.798006,1.581732,2.583568,0.020534,-0.767873,-1
5.545926,1.530948,3.351811,-2.116872,4.215841,-0.717921,-0.610706,1.296714,-2.48666,-0.1594,1
13.190243,-5.099908,-3.226699,-4.022658,-2.056888,2.34659,-0.591215,-2.535661,-2.437922,0.597016,1
3.141458,2.007573,-2.26789,0.733274,-1.756555,-0.320813,-0.737237,-1.090973,-0.852535,-1.596407,1
0.390603,3.563503,-0.879394,-0.706313,1.252116,2.638898,-1.324581,-0.451161,2.013748,-0.716489,-1
-11.197622,-5.103275,-3.18515,3.386292,-0.603683,0.547349,3.343361,-4.071837,1.821175,2.033831,-1
3.475499,0.458221,0.543812,-3.164776,-1.581802,-0.198741,0.230783,2.900264,0.78558,-2.79773,1
9.606335,4.6751,4.974522,-3.639456,2.823433,-2.078021,-0.508501,0.30963,0.618868,1.063204,1
-2.412018,-1.656634,2.799616,-5.815973,1.396193,-1.939492,-0.717061,2.070154,2.649377,0.371327,1
8.376568,2.153284,0.207956,0.368971,0.908816,-2.033085,-1.51312,0.434847,-0.037046,5.408915,1
0.423438,3.841344,0.122418,-4.495863,-1.221171,0.72515,-1.747655,1.881089,0.650217,-3.497401,1
-5.830103,3.479673,-0.950505,0.191581,1.252957,0.60839,0.545734,-1.532771,0.237303,1.777383,-1
-9.610558,3.599273,-0.229269,3.158814,1.069215,2.707971,1.649629,-2.114838,-0.756429,0.743437,-1
3.700833,2.254083,-1.240522,-0.10066,-1.095275,-0.281544,-0.390085,1.839308,-0.84388,2.23149,-1
13.807681,-4.387691,1.641277,0.998495,-1.52816,-2.297925,0.558015,-0.790148,-3.668829,2.652197,1
5.968635,-3.857238,3.952288,-4.374258,0.547567,-0.946285,4.123081,-0.74571,1.938091,-1.248042,1
-4.37677,2.319032,0.871751,2.932774,-2.304205,2.453233,2.953269,0.510823,4.376748,1.254381,-1
-2.093347,-4.376038,0.806018,0.22686,1.519172,-2.293652,-0.55664,2.206856,4.053972,1.617688,-1
0.139444,4.40604,2.575616,3.584279,2.467172,-0.75053,1.946525,-0.055093,-2.488851,1.639353,-1
-4.791599,0.626608,-0.492525,-0.645931,-0.3155,-3.435962,0.781096,-0.726277,0.321376,-1.214884,1
-7.017078,-1.009374,3.70776,1.495528,-3.192296,1.418427,-3.266995,1.845439,-0.384055,-0.560781,-1
5.763322,8.676309,4.505356,4.776256,2.577877,-0.39979,0.343725,0.573034,-0.550172,-0.825829,-1
2.361717,2.541908,-0.398822,4.486766,1.299476,-2.405229,-0.02105,-1.402122,-0.787517,0.853475,1
-4.594816,4.320602,-4.154767,-0.291512,1.032227,-0.55887,3.066295,0.117479,-2.17256,-0.855946,-1
-2.214338,-6.429831,-1.575003,2.548476,5.474671,1.513667,-1.759767,-1.798144,0.406418,-0.370544,-1
-14.027423,-2.094504,-0.130259,1.368567,0.92731,-2.331262,-3.756093,2.769734,0.846208,-0.554895,-1
-20.118002,-7.443561,-0.537366,1.475856,3.213607,-3.796072,-1.916603,1.315654,1.227453,-0.555293,-1
-11.190446,-1.316006,3.594367,-2.119128,-2.342772,-1.476065,-0.335319,-3.700994,2.117342,1.999421,1
0.064865,4.07849,-0.459748,3.879892,-2.208725,-0.639511,3.10323,0.753902,-0.466374,-0.797159,-1
0.50112,1.221714,-2.184028,-0.213225,-0.333558,-2.758099,3.17427,0.711229,0.37868,2.855993,1
-0.904433,5.368305,-1.439851,2.402522,-0.208261,-1.465781,-1.395589,1.752297,0.466023,-0.142186,-1
-6.231565,1.849685,8.493637,-0.28346,5.119052,5.304293,2.253702,-1.530229,-0.824585,0.235497,-1
-0.324582,-0.303591,0.144004,1.723575,-2.880229,2.529898,-3.602498,1.533496,1.043246,0.77862,-1
-8.212159,-1.377619,0.544834,-6.299697,-0.531111,-1.97939,-0.573476,0.551471,-0.66452,1.36416,1
3.050407,5.272294,-0.398658,0.68185,0.279383,-1.315554,1.626794,0.257484,3.010575,-0.990779,-1
1.996888,-0.907307,0.467388,1.661321,-3.545679,-1.567205,0.607481,-4.654356,1.73225,-0.916565,1
-1.782493,0.744588,1.724659,1.417248,-3.019707,1.79658,0.036159,0.068514,-0.461899,0.470128,-1
0.50648,3.891563,-0.468031,2.385005,-0.647547,-0.303511,-1.53497,2.725064,-1.061496,-0.280115,-1
-1.46112,0.735668,-0.486483,-1.0207,-3.499886,0.195592,0.437367,-3.093871,1.810883,0.381146,-1
-4.30673,0.359877,-1.633147,2.590011,1.515399,-0.258323,1.316862,2.097249,-1.03502,1.140422,-1
-8.845998,-6.893286,-3.44553,4.810975,0.759215,-1.799311,-3.055654,1.787342,-0.982712,0.70693,-1
3.640987,-2.918553,-2.236857,-2.641104,-3.21366,-1.762976,2.967169,-3.227716,4.180097,-1.34447,1
0.070867,0.925919,-1.625206,1.048166,-1.433519,2.801469,-0.041053,0.82754,0.381256,-1.035115,-1
7.317431,-0.311127,3.348694,-1.126163,1.538949,0.569281,-0.032025,-0.43683,-0.883395,-1.816159,1
0.507559,-1.591525,-2.150657,-1.231704,-2.708751,-1.600351,-0.10388,-0.040172,-1.488599,-0.739204,1
-9.604824,0.07408,-2.23767,4.014822,0.897342,2.161158,3.306908,3.79249,-1.795458,-3.234819,-1
-3.338587,4.954849,-0.804445,-4.81242,-1.482457,-3.966994,0.641294,-0.122956,-0.577096,0.519106,1
13.364081,3.658351,1.690832,0.236129,1.380414,3.030896,1.316308,1.705651,-0.122702,-1.382254,1
-4.049378,1.261892,-0.355501,-5.457389,-0.327304,0.14505,-2.988505,0.272415,0.179806,2.576865,1
9.070244,-4.920182,-0.696471,-2.478459,6.045281,-1.459261,0.458388,-1.842544,-1.533372,0.960596,1
-8.743261,-3.885375,-1.562377,1.424998,-2.336718,1.967579,-2.974148,0.13242,2.57005,-0.975789,-1
7.436251,4.923738,-0.709447,2.598218,-1.059154,-0.873978,-0.846896,1.749121,-1.9391,2.137513,1
5.612535,-8.45428,2.6711,0.317813,-3.642885,0.801214,0.442136,-0.896631,0.449099,-3.712404,1
5.288627,-9.055746,-5.001344,-2.967011,4.131867,4.040344,-2.598219,-2.781512,-1.013551,3.208301,1
-0.268355,1.73689,-0.122368,3.042117,2.327866,-1.412387,0.325145,0.490124,-0.89619,0.276448,-1
5.391309,-1.83347,0.738031,-3.464482,-4.479748,0.228158,-0.794923,1.808495,-3.9887,0.349911,1
0.956001,-1.364823,-3.845996,-1.081502,4.086747,-3.1106,-5.09394,-0.2703,-0.875683,1.390452,1
1.05504,1.391267,-2.958634,-1.709245,-1.577258,0.226346,-1.374325,-1.37994,-0.510617,0.054861,1
-2.567507,0.303163,4.989019,-2.179003,1.488806,1.44881,0.024586,-2.698764,0.016877,-1.858093,1
3.15008,2.242695,-3.548243,2.177867,-1.915868,-2.087758,-2.670914,-0.953137,-2.013957,1.08291,1
4.322462,0.984207,-1.609843,-1.982888,0.234587,0.676673,-0.849208,-0.082048,0.345859,-0.277684,1
-2.373139,-3.978153,-2.621466,0.500175,1.85062,-2.246466,-1.016901,0.035837,-0.892693,1.793237,1
22.431661,-5.146004,-4.040173,-2.51611,3.536063,3.334279,-0.287173,-0.398611,1.732874,-0.63778,1
5.317499,5.29179,0.547187,2.354218,1.95306,-0.805751,-2.501088,0.413882,3.386502,1.6831,-1
3.746453,4.136662,-1.025995,0.555687,3.135517,1.507482,0.151395,-2.463829,-1.970057,3.579414,-1
-0.310344,4.097905,-0.292472,-0.270577,1.911546,3.007274,-0.831534,-1.852163,1.126715,-1.669933,-1
-6.935199,-0.669877,-4.109889,2.408588,1.275592,-0.736091,0.97049,1.065409,-1.761908,1.375194,-1
4.906612,1.513297,-1.908479,-0.052291,1.830511,3.278283,-2.662324,-2.626455,-2.285618,1.609218,1
-1.652381,4.671985,2.021064,-1.190431,2.993744,0.931191,1.811135,0.672591,-0.429635,1.579856,-1
2.395094,-6.376364,4.714531,-2.27301,-0.522187,-1.006679,-0.61667,0.379251,-2.475891,0.661963,1
5.1002,-2.321436,-2.965784,1.280076,-4.498469,-2.838245,3.552612,-5.248782,-0.550996,-1.842721,1
-8.519767,-1.001945,0.063,-2.682719,-1.253706,-0.443082,-1.091694,0.500241,0.496169,0.140233,-1
2.108469,-6.050735,2.219489,0.854696,-0.78712,1.289582,2.668682,0.870725,2.0032,2.105135,1
10.133434,-2.217262,0.132689,-3.669015,2.187047,1.555203,-2.319869,1.190705,-1.027908,-0.142309,1
-1.073309,1.706898,-0.13232,4.639816,1.526279,4.814578,0.662155,0.791802,0.875378,-2.078416,-1
-3.911451,0.528688,1.290098,-0.9508,0.370661,0.604141,-0.31259,-2.153702,-0.07105,0.6784,-1
-9.145012,-3.886737,4.832221,-0.117177,-2.857069,-0.214838,-0.793127,-2.329216,2.783736,1.953952,-1
-4.520194,-2.012344,-1.192377,3.733784,-2.002183,-2.372548,-3.938531,-1.0745,3.407664,-0.250444,-1
-9.936177,3.405069,1.537477,-3.741178,1.274099,2.862154,1.57576,1.163416,0.736849,-2.428269,-1
-4.576662,-0.912483,4.526254,1.763166,-5.076362,3.259163,0.247689,-0.249431,-1.42722,1.159473,-1
4.825688,4.850661,4.389503,3.814985,4.599699,0.734983,-0.664803,-1.856623,-1.995051,2.302155,-1
16.342574,-1.507302,1.701964,0.473821,4.563743,-2.960348,2.322857,0.036957,0.078099,-0.009123,1
2.592987,1.037978,-2.694074,2.430147,-1.876725,1.44732,-1.974536,-1.678351,-0.046106,-0.684306,-1
5.643719,1.56812,6.762845,-8.306495,4.027896,0.23554,1.982762,1.44144,2.496735,-2.765933,1
-9.604625,1.542164,0.957894,-5.274637,2.092469,1.376131,1.97093,2.038003,1.033472,-0.959818,-1
-5.26514,-1.218667,-1.140636,1.416994,2.334345,0.648621,3.690931,0.857798,0.799163,-0.90295,-1
