@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M5'

@attribute -0.124Feature84-0.122Feature85-0.121Feature162+0.121Feature149-0.121Feature52... numeric
@attribute -0.23Feature33-0.226Feature34-0.21Feature35+0.203Feature98+0.196Feature99... numeric
@attribute 0.186Feature103+0.157Feature96+0.149Feature94+0.148Feature95+0.147Feature25... numeric
@attribute '0.215Feature26+0.209Feature29+0.206Feature27+0.19 Feature28+0.189Feature102...' numeric
@attribute 0.216Feature50+0.215Feature14+0.214Feature92+0.212Feature128+0.207Feature76... numeric
@attribute Class {-1,1}

@data
19.775991,-11.697972,-0.492606,-1.446815,3.133101,1
1.101013,-3.913952,0.584039,3.579498,2.510377,1
-11.382954,-4.446092,5.03648,-4.502236,-2.711104,-1
6.38369,-0.121845,-2.862137,1.113269,1.522447,-1
-10.590622,0.584278,-0.219471,-0.434699,0.626638,-1
4.37842,2.568239,-0.655406,-0.193958,-1.325218,1
3.274609,-1.865661,-3.522686,1.596514,-0.823792,-1
-8.400737,-0.849222,-0.160156,-0.671216,-3.908905,1
3.208072,2.572921,-1.227598,2.747515,-3.092179,1
-3.119045,0.902413,0.703787,0.29747,-2.199393,-1
0.911364,-4.540411,4.572106,-0.022914,-3.415132,1
-4.590999,-1.90578,-5.770606,2.75452,0.433977,-1
0.43034,3.868062,-1.026724,-2.219595,0.469589,-1
-10.475281,3.918879,2.437765,3.895315,-0.471412,-1
-1.177436,1.830753,-0.768006,-3.041236,4.224313,-1
-14.667982,-1.638974,-0.057002,-1.007561,1.50594,-1
-1.652324,-0.341099,0.009152,-0.473951,-2.578726,-1
0.130825,-1.079978,-1.296912,-2.286609,-1.6918,1
-9.128528,-3.740408,-1.763448,-2.070976,-1.145731,-1
-9.537699,1.59039,3.893225,5.105388,-3.351458,1
5.128467,1.106767,-0.831109,-1.940444,1.416188,-1
-7.561477,-0.86417,-3.697062,-1.069757,3.413925,1
1.896414,-2.137516,0.318251,-0.831356,-1.904334,-1
0.739267,-1.26656,-3.022034,3.481925,2.534167,1
3.652864,-2.721355,-1.490095,1.004239,-3.719309,1
6.751602,4.903224,2.062153,-1.370818,1.930293,1
-4.817691,4.616496,-3.933541,1.542694,0.747478,-1
-7.040477,-10.601435,0.307287,1.279563,0.62822,1
-1.444579,3.173201,-4.123152,-4.248916,0.675685,-1
-5.552494,1.186833,2.209137,4.78081,-5.690494,1
1.939821,4.031786,-0.986043,2.979033,0.234901,1
-2.047607,-1.317277,-1.974103,2.543885,5.862965,-1
