@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A10-M10'

@attribute -0.121Feature52-0.121Feature85-0.121Feature78-0.12Feature84-0.12Feature86-0.119Feature58-0.119Feature57-0.119Feature163-0.119Feature83+0.118Feature148... numeric
@attribute '-0.229Feature33-0.227Feature34-0.223Feature35+0.215Feature98-0.193Feature32-0.191Feature36+0.19 Feature99+0.174Feature97+0.173Feature101+0.163Feature100...' numeric
@attribute -0.226Feature29+0.217Feature94+0.214Feature93+0.203Feature95-0.183Feature30+0.181Feature96+0.166Feature18-0.166Feature28+0.162Feature92-0.151Feature31... numeric
@attribute -0.21Feature25-0.208Feature103-0.207Feature102-0.2Feature27-0.186Feature11+0.165Feature116-0.158Feature26-0.153Feature104-0.149Feature51-0.142Feature89... numeric
@attribute '0.225Feature50+0.22 Feature154-0.218Feature115+0.213Feature128+0.212Feature76+0.197Feature24-0.197Feature141+0.194Feature14+0.186Feature105-0.16Feature96...' numeric
@attribute '0.235Feature13+0.229Feature91+0.212Feature104+0.207Feature12+0.2  Feature107+0.186Feature141-0.183Feature76-0.182Feature50-0.177Feature128+0.176Feature16...' numeric
@attribute '0.36 Feature110+0.311Feature19+0.296Feature109+0.252Feature111+0.22 Feature18+0.211Feature108+0.21 Feature20+0.174Feature97+0.168Feature17+0.134Feature30...' numeric
@attribute 0.344Feature106+0.286Feature15+0.271Feature107+0.245Feature16-0.223Feature12-0.211Feature90-0.204Feature89-0.194Feature11+0.188Feature28-0.171Feature102... numeric
@attribute '0.302Feature21-0.246Feature23+0.23 Feature99-0.226Feature114+0.209Feature20-0.203Feature108+0.195Feature112-0.19Feature17+0.175Feature98-0.149Feature105...' numeric
@attribute '-0.315Feature17-0.286Feature108-0.253Feature95+0.174Feature3-0.165Feature99-0.157Feature21-0.155Feature9+0.153Feature4+0.141Feature24+0.14 Feature15...' numeric
@attribute Class {-1,1}

@data
-14.988092,-13.470714,7.075939,3.449706,-2.321065,1.63127,-1.937561,-1.414105,3.564361,-3.091005,1
5.055338,-8.754652,-6.312948,0.670948,5.309817,-4.235181,-1.698578,-1.509246,1.656445,5.459921,1
-1.396879,2.948948,-0.911815,-0.654422,0.976785,-3.287441,-1.481318,0.30466,1.274659,-2.710633,1
3.359611,-0.859915,0.882893,2.849776,-5.189118,-1.971046,-1.132054,0.484801,-1.229374,-0.265714,-1
-3.037113,0.24215,-0.197967,-1.040545,-1.921001,2.406637,-1.770251,1.746523,-0.203422,0.539984,-1
-4.659687,3.449894,-3.078001,-0.623011,-0.503411,-1.326184,0.063041,-0.110266,-1.055612,-0.895921,-1
16.813749,3.481481,2.446172,2.618947,3.083763,1.615561,1.533514,-1.180199,2.657087,-0.909848,1
4.685167,-5.108165,3.452578,-0.261113,-1.49065,0.931098,0.959727,-1.156872,0.845215,-0.316096,1
-1.507832,3.550312,0.596676,5.700132,-1.153736,-0.131947,0.032761,1.754579,0.817947,-0.10006,-1
0.887045,0.572336,-3.239513,1.553859,-0.975836,-1.828931,0.302133,-4.883215,0.851291,-0.207916,1
-0.822083,-0.763886,2.208913,3.062885,-1.195901,0.939931,0.61455,-0.206324,-0.157353,-0.612012,1
20.973561,-2.393419,4.902141,-2.422472,1.279878,3.93359,-0.348371,1.721562,0.496764,-1.403961,1
-7.142906,-4.74986,4.194635,-1.17688,3.728147,0.661032,1.141197,-0.417233,0.445491,1.266058,-1
-3.049807,2.339172,-0.412189,1.883136,-2.791076,-0.196014,0.411692,2.392544,-0.809465,1.082507,-1
2.982589,5.812449,3.491735,-1.798274,3.573292,1.092726,-0.440869,0.485104,-0.12577,3.037343,1
5.72491,-0.155526,-2.47459,-1.802378,4.210159,1.077763,-0.774188,-1.613446,-3.693724,0.774754,1
3.408637,-1.616071,5.404431,2.628001,0.244719,0.32586,0.009616,1.720859,-2.410586,0.168106,-1
9.634212,-0.607623,-1.040967,1.421617,-1.692234,-4.084038,-1.837322,-2.149019,2.627473,2.277245,1
-7.35512,0.556731,-0.481877,-1.34891,-0.457072,2.283584,-1.478779,-0.212395,-2.036431,-0.401668,1
-5.258987,-0.665528,0.940068,1.501867,-2.874829,-2.107984,-0.051951,-1.712545,0.899154,0.363598,-1
-0.942617,5.784956,2.002666,0.630405,2.752881,-0.974459,-0.207869,0.939583,-0.034162,3.069469,-1
-5.809776,3.404414,-2.858628,-2.460778,-1.302048,-2.36115,-0.145265,-1.873074,-0.744886,-1.313108,-1
-4.724268,4.882462,-3.165428,1.453668,0.885305,0.958142,3.339004,-0.542828,0.367655,1.482143,-1
-2.271849,-4.52804,0.743099,0.158704,1.769912,2.808566,-1.903245,2.864366,-1.932868,-1.4263,-1
1.47608,0.267338,-2.521044,1.46004,1.103499,2.953227,1.427418,0.441215,0.698297,-0.885186,1
1.864369,-1.495457,-0.114746,1.463382,-3.509589,0.378311,-1.404485,1.916795,-0.332467,-0.822171,1
3.055089,5.456435,0.328088,0.148559,0.242692,0.521413,0.22771,2.688171,-1.954652,-0.884836,-1
1.856009,-0.214393,1.866235,-6.476593,-1.44148,1.818305,1.434555,-2.928638,0.192101,-0.200653,1
-0.977768,5.338967,0.257133,2.300983,-0.195931,1.806903,-1.907963,1.443744,0.527048,-0.555166,-1
-11.137847,-1.843306,4.12504,0.519886,-4.481827,-0.375025,-2.360387,-0.850395,-1.435513,-0.710044,-1
1.983804,-6.288489,2.200409,0.03982,-0.852638,-1.210611,3.150337,3.930507,-0.709505,5.433066,1
-11.210682,1.842296,-1.800635,-0.306674,6.515935,1.586414,-1.423539,-0.967875,1.36203,2.240412,1
-10.29515,-0.160823,0.989333,-0.903781,-1.65027,-0.419946,0.447984,-0.633701,-1.368609,0.76857,-1
14.80011,1.634793,0.824371,-3.909176,3.834285,-1.350727,-2.102728,0.514037,-1.873816,0.18812,1
-6.545162,1.011369,1.204569,-1.815013,-3.087288,0.801699,0.012537,0.952747,0.346904,1.143989,-1
