@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M5'

@attribute -0.121Feature52-0.121Feature85-0.121Feature78-0.12Feature84-0.12Feature86... numeric
@attribute -0.229Feature33-0.227Feature34-0.223Feature35+0.215Feature98-0.193Feature32... numeric
@attribute -0.226Feature29+0.217Feature94+0.214Feature93+0.203Feature95-0.183Feature30... numeric
@attribute -0.21Feature25-0.208Feature103-0.207Feature102-0.2Feature27-0.186Feature11... numeric
@attribute '0.225Feature50+0.22 Feature154-0.218Feature115+0.213Feature128+0.212Feature76...' numeric
@attribute Class {-1,1}

@data
5.890884,1.282593,-2.189121,3.778404,-0.267691,1
0.707871,-5.145934,1.746131,-3.584958,-3.002518,1
0.482097,-3.19038,0.788728,-4.428391,0.699394,1
2.377124,0.234106,-0.800673,2.120606,-2.425015,-1
5.887133,-1.310592,-0.591455,-0.55686,-1.65343,1
-8.20947,2.212452,4.870082,0.692205,3.732673,-1
-5.222483,-2.341038,9.858081,-3.845206,3.449421,-1
-20.549394,-7.590199,0.663327,2.712324,3.710978,-1
-1.847729,-0.94471,-0.995418,1.329852,5.940013,-1
12.190112,-1.338137,0.800789,-0.140389,-0.320141,1
-1.064852,-2.500671,1.129968,0.155075,2.88569,1
0.423024,1.294778,-1.843914,0.537051,-0.716785,1
3.924204,2.123741,-3.314484,-0.489043,-1.103978,1
-2.616106,-4.517847,6.834583,-0.433966,4.0211,1
9.090775,-4.836234,-1.921704,-2.042041,5.516863,1
-3.514325,-1.535517,-2.36654,2.178297,3.810457,1
17.669331,-1.234738,4.826242,-1.112454,3.383629,1
7.115806,2.577355,2.259954,1.67844,-0.749083,-1
-6.408328,1.49004,7.11644,-5.620998,4.725351,-1
8.153564,-2.83741,-10.838304,-0.395816,2.246572,1
-1.834904,3.616533,-0.206344,4.813523,-1.64025,-1
-5.99561,3.5163,-0.419577,0.202892,1.332817,-1
1.990841,3.93065,-1.815891,-1.368775,1.268235,1
-0.791701,-0.777641,4.199318,2.085681,-2.521549,-1
-4.16632,0.513585,-0.402406,-1.358789,-2.168812,-1
-4.509391,0.795289,1.843669,0.977274,-2.840893,1
-6.73186,-0.602333,-2.112915,-2.074937,-1.818331,1
3.881585,4.274547,2.539122,4.552678,-2.322506,1
-3.961412,1.336281,-2.504558,3.769393,0.995015,-1
1.739457,-2.418435,-0.293344,0.338561,-1.876354,-1
4.968952,0.997664,0.972504,1.899516,0.035446,-1
2.717396,2.384337,-1.747873,-2.377938,-0.522779,1
-7.715584,-2.605957,0.205663,-0.90196,-0.395785,1
4.452168,0.291817,-2.008626,-0.95888,-1.851541,1
-0.913835,3.565584,-1.215821,0.503786,0.721416,-1
1.242954,0.778362,3.36,0.590573,-0.266688,-1
-2.223242,4.398383,-0.027402,1.063686,-1.660661,-1
0.124187,2.39366,-1.098974,-2.085254,-0.892391,1
3.577267,2.181254,-1.107598,0.325521,-0.998334,-1
4.483623,1.232198,2.952418,-0.398398,-2.036362,1
11.530151,-1.950428,-0.58545,1.776078,0.650086,1
4.961513,1.665473,1.015317,3.473574,4.47243,-1
6.144031,0.024228,-2.866064,1.766154,1.59891,-1
-4.67701,-2.085793,1.19233,4.528265,-1.646082,-1
-9.926841,1.575112,-1.972275,-4.943567,1.808197,-1
4.061649,-1.037966,-1.821934,6.858148,0.076825,-1
5.364543,5.233705,1.615501,1.163181,1.939204,-1
1.492462,2.375718,3.494367,1.291658,-2.793239,-1
0.776726,-3.579454,2.70651,1.887162,-0.686944,1
1.57182,4.312493,-0.805269,-5.476234,4.85228,1
4.75315,1.602627,-1.789613,0.289752,1.993185,1
-14.147837,-6.213264,-0.794986,2.32611,1.877918,-1
-1.98093,0.54797,2.321186,0.420632,-3.089983,-1
0.906385,1.402843,-3.399154,1.777566,0.144227,1
1.607737,2.931629,-1.286513,-3.061222,-2.260621,1
13.060431,-5.097038,-5.623368,-1.241493,-2.001444,1
0.001034,1.783139,2.803444,-1.28289,-2.027066,-1
-0.58005,-1.561306,-2.90176,-0.735773,-2.142352,1
-10.176488,-0.958091,6.873755,2.956768,4.039388,-1
5.765623,1.062961,1.463994,-0.339256,-0.05223,1
-9.171191,3.195127,-3.534464,-5.475057,3.591272,1
-9.276239,1.855723,-5.658506,1.408524,-1.483258,-1
-7.084524,-2.47622,-0.798378,2.964505,-0.550807,-1
-8.818604,2.587343,1.506594,1.059331,3.54628,-1
7.501499,-0.505868,-1.273168,0.033684,1.43398,1
-3.902531,-8.907424,3.911314,-2.376085,-3.624179,1
10.285411,-1.977292,-3.168535,-4.113369,-0.376268,1
6.064445,-0.612008,-1.84988,-2.540877,2.351965,1
-0.316502,-5.291974,-12.773498,-0.922968,3.007353,1
-1.674674,1.805312,5.69162,1.503766,-3.291389,-1
-4.012006,0.092198,-0.77923,0.68598,4.534106,1
-5.285077,-0.434997,-7.161098,0.290029,3.401382,1
-5.299852,-0.360979,0.700205,-0.11047,-0.328801,-1
-4.592418,-1.264163,-2.773131,-0.937097,0.066765,1
-6.248507,5.335933,-1.910182,0.604247,0.82637,1
-3.13316,0.077526,-2.873325,3.791485,0.279956,-1
0.411929,1.377296,-1.111372,2.880688,-2.659457,1
5.868683,2.512643,-0.806103,3.805183,-1.777841,1
5.893376,8.751836,6.644262,0.10861,2.201005,-1
-1.426644,-0.251876,2.337278,-2.61872,-3.629163,-1
9.2945,1.345005,-0.424273,0.974565,-0.854422,1
0.484342,-0.647937,-0.476611,0.604487,2.367248,1
-12.647808,0.891391,1.273804,-2.703137,0.416876,-1
-3.069065,-2.043573,-1.135421,-0.115015,-0.94906,1
10.057067,-2.652352,-2.243601,-3.072947,1.787817,1
-10.212979,3.276385,-0.56919,-3.945008,0.807481,-1
-2.294791,-6.175646,0.071312,3.395416,5.709199,-1
-3.759621,3.25097,2.734078,1.974138,-1.811877,-1
-1.989934,1.140002,0.961347,-1.07788,-3.119034,-1
-8.76005,-2.892029,2.244108,5.260138,0.411555,-1
1.658604,4.966647,-2.109285,-0.154041,-0.810182,-1
0.649878,-7.526799,-0.311732,-3.62208,2.699275,1
-0.003716,0.616743,-2.435659,-1.16689,0.010159,-1
-8.319145,-1.171998,-1.08372,-0.252581,-3.456216,1
0.758956,2.016107,0.184112,1.818829,2.749988,-1
-2.207419,2.16806,3.085273,1.855405,5.885084,-1
0.070903,1.730767,-1.153397,-0.613459,-1.977411,1
3.642146,0.605294,0.671417,-2.823418,-1.880554,-1
3.131783,2.480366,-1.745463,3.897576,-1.632621,1
-4.460602,-0.709262,1.319938,4.005464,-0.828718,1
-4.031036,0.124773,-3.435728,5.321522,1.325364,-1
6.568394,4.733189,3.321218,-0.513185,0.386237,1
