@relation 'Music_Emotion_Recognition-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.WrapperSubsetEval -B weka.classifiers.functions.SMO -F 5 -T 0.01 -R 1 -E DEFAULT -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Feature28 numeric
@attribute Feature33 numeric
@attribute Feature34 numeric
@attribute Feature97 numeric
@attribute Feature102 numeric
@attribute Feature112 numeric
@attribute Feature114 numeric
@attribute Feature115 numeric
@attribute Feature152 numeric
@attribute Feature166 numeric
@attribute Class {-1,1}

@data
0.17082,0.24057,0.50161,0.66824,0,0.41138,0.42478,0.15338,0.49254,0.55643,-1
0.13806,0.23601,0.21048,0.73452,0.019321,0.38155,0.481,0.77978,0.66536,0.38351,-1
0.20487,0.24232,0.25599,0.49738,0.10655,0.38875,0.46174,0.75907,0.64161,0.38719,-1
0.46068,0.45502,0.28274,0.76858,0.50264,0.26544,0.33222,0.88107,0.58541,0.32309,1
0.18787,0.13222,0.26086,0.87372,0.35055,0.31586,0.32353,0.74857,0.67177,0.31521,-1
0.18924,0.087321,0.10242,0.74454,0.32172,0.24951,0.31891,0.74389,0.67015,0.33646,-1
0.56448,0.57446,0.78647,0.54141,0.62598,0.39804,0.55105,0.59742,0.59359,0.32861,1
0.31552,0.18632,0.16801,0.85067,0.20706,0.30014,0.32482,0.67934,0.68113,0.19944,-1
0.25377,0.44433,0.19255,0.56624,0.83248,0.25111,0.43964,1,1,0,1
0.37865,0.32892,0.43492,0.58886,0.8175,0.31883,0.47116,0.84007,0.69676,0.19516,1
0.16657,0.24558,0.30848,0.70452,0.51164,0.32644,0.39424,0.77322,0.74868,0.25881,-1
0.6586,1,0.54039,0.16732,0.54931,0.54563,0.52522,0.68759,0.34037,0.48477,1
0.42758,0.57911,0.51987,0.36505,0.60336,0.50311,0.51239,0.58865,0.39713,0.48553,-1
0.58561,0.33786,0.51057,0.55473,0.91101,0.27863,0.58873,0.67204,0.7413,0.45229,1
0.36251,0.19586,0.43861,0.76261,0.66958,0.49913,0.60688,0.77529,0.6396,0.51312,1
0.2573,0.26522,0.40248,0.83287,0.59618,0.35396,0.45871,0.86853,0.75083,0.45644,1
0.3097,0.19834,0.10049,0.67855,0.30244,0.17123,0.37654,0.79486,0.75468,0.43131,-1
0.29703,0.22987,0.19193,0.81109,0.44419,0.42964,0.40459,0.74133,0.66,0.36448,1
0.27595,0.11319,0.19847,0.82099,0.48437,0.47745,0.38164,0.75637,0.73702,0.26878,1
0.33748,0.24526,0.36385,0.78157,0.50233,0.69823,0.43761,0.75161,0.76355,0.31494,1
0.36231,0.26353,0.31811,0.41918,0.39078,0.23351,0.77341,0.51335,0.5945,0.29612,-1
0.17716,0.092116,0.12749,0.73283,0.032514,0.29213,0.25657,0.78491,0.69142,0.10007,-1
0.35264,0.11579,0.28015,0.86845,0.74756,0.47503,0.43454,0.57493,0.69376,0.25586,1
0.33893,0.79736,0.51245,0.56756,0.75243,0.17222,0.66759,0.62775,0.68396,0.27584,1
0.41939,0.13646,0.33777,0.86384,0.69619,0.68596,0.45414,0.84562,0.75887,0.27385,1
0.37477,0.26138,0.33633,0.64782,0.44834,0.29664,0.51618,0.64081,0.446,0.55359,1
0.36206,0.13747,0.22187,0.63012,0.48897,0.40819,0.40625,0.67894,0.54206,0.4889,-1
0.32719,0.27493,0.37128,0.69662,0.58106,0.42873,0.34202,0.72188,0.63795,0.25321,-1
0.39982,0.48734,0.90307,0.062748,0.32401,0.96983,0.51037,0.67084,0.33769,0.60454,-1
0.38801,0.82413,0.77788,0,0.40199,0.9518,0.33833,0.60098,0.39502,0.67258,-1
0.30761,0.32927,0.56826,0.5334,0.33336,0.7271,0.55634,0.85788,0.64117,0.27856,-1
0.15168,0.13754,0.20641,0.81554,0.5589,0.22449,0.42152,0.81111,0.69034,0.30729,1
0.14291,0.035227,0.11863,0.8567,0.53012,0.2566,0.38866,0.83807,0.67482,0.29939,1
0.08405,0.21304,0.1854,0.7598,0.60329,0.30469,0.35483,0.67826,0.63382,0.24007,1
0.18783,0.084282,0.12628,0.79218,0.68487,0.47136,0.19942,0.77841,0.82376,0.019383,1
0.15938,0.36495,0.52359,0.98941,0.80012,0.68902,0.47258,0.83885,0.72278,0.29198,1
0.33506,0.38862,0.29334,0.6008,0.41748,0.85256,0.3942,0.79749,0.82108,0.24767,-1
0.44417,0.25824,0.47923,0.80004,0.55932,0.52245,0.438,0.47639,0.48423,0.54698,-1
0.18103,0.28113,0.52689,0.42679,0.26951,0.75288,0.38355,0.63056,0.36815,0.48847,-1
0.14501,0.20078,0.26606,0.66792,0.26737,0.40309,0.45729,0.52974,0.6676,0.34685,-1
0.28543,0.52191,0.57573,0.61088,0.97535,0.85908,0.66118,0.48736,0.83869,0.26576,1
0.38613,0.5041,0.67651,0.41252,0.93151,0.78258,0.60148,0.49563,0.56801,0.52857,1
0.29096,0.21012,0.44198,0.71847,0.23778,0.16591,0.51194,0.7992,0.63398,0.4463,1
0.29455,0.21889,0.3508,0.63667,0.23004,0.32081,0.43293,0.69243,0.72877,0.39614,-1
0.29096,0.29656,0.29065,0.74601,0.19972,0.19004,0.63601,0.70488,0.64513,0.3375,1
0.21332,0.34389,0.26644,0.72784,0.23923,0.055617,0.58177,0.7162,0.65158,0.34571,1
0.28026,0.36867,0.48856,0.63105,0.20536,0.29072,0.59569,0.72454,0.54193,0.56399,-1
0.36327,0.25967,0.2455,0.4663,0.22929,0.27116,0.41634,0.76555,0.66247,0.47871,-1
0.22156,0.28681,0.327,0.82395,0.45546,0.35916,0.53964,0.70484,0.69051,0.22394,1
0.21365,0.39937,0.44395,0.68771,0.38709,0.54778,0.50162,0.80639,0.68832,0.46797,1
0.31086,0.31478,0.41807,0.77487,0.41375,0.48415,0.50064,0.68508,0.47591,0.5197,-1
0.31183,0.17803,0.16013,0.8733,0.38307,0.30403,0.50157,0.70401,0.57314,0.53332,1
0.44679,0.10613,0.092039,0.75672,0.3667,0.19785,0.40988,0.76499,0.6389,0.37712,-1
0.2083,0.13847,0.22657,0.7297,0.26157,0.26901,0.29984,0.88236,0.72922,0.27232,-1
0.24799,0.2937,0.42161,0.55408,0.46438,0.48311,0.22537,0.83698,0.75866,0.40845,1
0.22187,0.18412,0.56201,0.47528,0.47765,0.70776,0.37939,0.847,0.64008,0.44574,1
0.29991,0.42555,0.60532,0.30093,0.27807,0.35145,0.8269,0.67807,0.52502,0.48708,-1
0.27251,0.51122,0.64921,0.54708,0.30674,0.29359,0.81487,0.61172,0.35592,0.6014,-1
0.18687,0.31432,0.30187,0.73832,0.76277,0.41671,0.30579,0.62173,0.64892,0.29578,1
0.30737,0.36432,0.40789,0.60137,0.85391,0.46724,0.48859,0.41292,0.51236,0.63973,1
0.14374,0.15889,0.31489,0.77382,0.67932,0.33998,0.534,0.6768,0.96486,0.14156,1
0.41658,0.11481,0.10228,0.91624,0.54005,0.26012,0.58861,0.5669,0.82449,0.28324,1
0.40347,0.15851,0.17327,0.55913,0.50546,0.3157,0.23864,0.77249,0.77033,0.23762,1
0.22365,0.14119,0.18103,0.65964,0.47131,0.26059,0.31869,0.63946,0.6639,0.31488,1
0.19829,0.24107,0.18035,0.74357,0.61337,0.20045,0.39341,0.5805,0.67486,0.31052,1
0.29861,0.62892,0.78429,0.70135,0.38492,0.36668,0.82723,0.60504,0.37054,0.47185,-1
0.17695,0.15437,0.13934,0.92973,0.30889,0.17967,0.33428,0.85217,0.58262,0.2353,1
0.26139,0.34109,0.61348,0.41694,0.38537,0.8162,0.36887,0.62457,0.73544,0.29959,-1
0.26953,0.31502,0.35892,0.45614,0.46096,0.60585,0.57826,0.67193,0.64244,0.34354,1
0,0.005293,0.10122,0.81357,0.57747,0.28375,0.5822,0.54893,0.6051,0.32671,-1
